id,yearbirth,age,categorical_age,education,maritalstatus,income,categorical_income,kidhome,teenhome,totalchild,dtcustomer,month_year_dtcustomer,recency,recency_category,mntwines,mntwines_category,mntfruits,mntfruits_category,mntmeatproducts,mntmeatproducts_category,mntfishproducts,mntfishproducts_category,mntsweetproducts,mntsweetproducts_category,mntgoldproducts,mntgoldproducts_category,mnttotal,mnttotal_category,numdealspurchases,numdealspurchases_category,numwebpurchases,numwebpurchases_category,numcatalogpurchases,numcatalogpurchases_category,numstorepurchases,numstorepurchases_category,numwebvisitsmonth,numwebvisitsmonth_category,totalpurchases_online,totalpurchases_offline,totalpurchases,totalpurchases_category,behaviour_score,behaviour_category,average_spending,acceptedcmp1,acceptedcmp1_category,acceptedcmp2,acceptedcmp2_category,acceptedcmp3,acceptedcmp3_category,acceptedcmp4,acceptedcmp4_category,acceptedcmp5,acceptedcmp5_category,complain,spending_waiver_online,spending_waiver_online_category,spending_waiver_offline,spending_waiver_offline_category,spending_waiver_total,spending_waiver_total_category,response,response_category,totalacceptedcmp
13075,1975,40,36-55,Graduation,Partner,79205.0,Highest,0,0,0,2012-08-29,2012-08-01,73,2,504,501-1250,23,16-50,117,51-250,120,81-150,28,0-30,44,31-80,836,3,1,0-1,6,3-6,5,3-6,4,4-8,4,4-8,11,5,16,3,233,Customers Needing Attention,52.25,1,Accept,0,Accept more than once,0,Accept more than once,0,Accept more than once,0,Accept more than once,0,2.75,4,0.0684931506849315,1,41,Online Only,1,Accept more than once,2
12750,1963,52,36-55,Master,Partner,32632.0,Lowest,0,0,0,2012-08-02,2012-08-01,32,3,63,0-150,81,51-100,137,51-250,120,81-150,19,0-30,53,31-80,473,2,2,2-4,4,3-6,4,3-6,8,4-8,5,4-8,8,10,18,4,342,Potential Loyalist,26.27777777777778,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.6,4,0.3125,4,44,Both Care,0,Reject,0
13901,1946,69,56-90,Graduation,Partner,37760.0,Low,0,0,0,2012-08-31,2012-08-01,20,4,84,0-150,5,0-15,38,0-50,120,81-150,12,0-30,28,0-30,287,2,2,2-4,4,3-6,1,0-2,6,4-8,7,4-8,5,8,13,3,432,Potential Loyalist,22.076923076923077,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.7142857142857143,2,0.4,5,25,Offline Recommended But Online Still Fine,0,Reject,0
12872,1956,59,56-90,Master,Partner,53230.0,High,0,1,1,2012-08-03,2012-08-01,86,1,176,151-500,72,51-100,98,51-250,120,81-150,21,0-30,126,81-150,613,3,4,2-4,5,3-6,2,0-2,12,9-15,5,4-8,7,16,23,4,143,Hibernating,26.652173913043477,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.4,3,0.18604651162790697,3,33,Mid,0,Reject,0
13478,1976,39,36-55,PhD,Partner,72335.0,Highest,0,0,0,2012-08-13,2012-08-01,2,5,1224,501-1250,81,51-100,555,251-600,28,0-30,21,0-30,0,0-30,1909,5,1,0-1,10,7-15,4,3-6,8,4-8,8,4-8,14,9,23,4,545,Champions,83.0,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.75,4,4.5,5,45,Both Care,1,Accept,1
10704,1969,46,36-55,Graduation,Single,54803.0,High,0,1,1,2012-08-21,2012-08-01,65,2,404,151-500,0,0-15,92,51-250,28,0-30,27,0-30,126,81-150,677,3,2,2-4,6,3-6,2,0-2,9,9-15,4,4-8,8,11,19,4,243,At Risk,35.63157894736842,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.0,4,0.16923076923076924,3,43,Online But Offline Still Fine,0,Reject,0
12208,1977,38,36-55,Graduation,Single,23763.0,Lowest,1,0,1,2012-08-07,2012-08-01,64,2,22,0-150,0,0-15,6,0-50,6,0-30,2,0-30,6,0-30,42,1,1,0-1,1,0-2,0,0-2,3,0-3,7,4-8,1,4,5,1,211,About to Sleep,8.4,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.14285714285714285,1,0.0625,1,11,Not Care At All,0,Reject,0
12104,1984,31,0-35,Graduation,Partner,15345.0,Lowest,1,0,1,2012-08-31,2012-08-01,51,2,5,0-150,2,0-15,16,0-50,3,0-30,2,0-30,19,0-30,47,1,2,2-4,1,0-2,1,0-2,2,0-3,8,4-8,2,4,6,2,221,About to Sleep,7.833333333333333,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.25,1,0.0784313725490196,1,11,Not Care At All,1,Accept,1
13029,1971,44,36-55,PhD,Partner,49269.0,Low,1,0,1,2012-08-15,2012-08-01,92,1,639,501-1250,8,0-15,166,51-250,11,0-30,8,0-30,58,31-80,890,3,3,2-4,7,7-15,3,3-6,12,9-15,7,4-8,10,15,25,4,143,Hibernating,35.6,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.4285714285714286,3,0.16304347826086957,3,33,Mid,0,Reject,0
13674,1976,39,36-55,Graduation,Partner,61064.0,High,0,1,1,2012-08-31,2012-08-01,80,1,387,151-500,81,51-100,342,251-600,0,0-30,45,31-60,126,81-150,981,4,5,5-10,8,7-15,4,3-6,11,9-15,6,4-8,12,16,28,5,154,Can't lose them,35.035714285714285,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.0,4,0.2,4,44,Both Care,0,Reject,0
12307,1981,34,0-35,Graduation,Partner,31089.0,Lowest,1,0,1,2012-08-17,2012-08-01,57,2,31,0-150,3,0-15,31,0-50,2,0-30,8,0-30,4,0-30,79,1,3,2-4,3,3-6,0,0-2,4,4-8,8,4-8,3,7,10,2,221,About to Sleep,7.9,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.375,2,0.12280701754385964,2,22,Not Care Much,0,Reject,0
12708,1957,58,56-90,Graduation,Single,36864.0,Low,0,1,1,2012-08-13,2012-08-01,53,2,204,151-500,5,0-15,39,0-50,17,0-30,0,0-30,89,81-150,354,2,3,2-4,5,3-6,2,0-2,4,4-8,8,4-8,7,7,14,3,232,Customers Needing Attention,25.285714285714285,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.875,3,0.1320754716981132,3,33,Mid,1,Accept,1
13338,1952,63,56-90,Graduation,Single,53700.0,High,0,1,1,2012-08-17,2012-08-01,94,1,263,151-500,5,0-15,233,51-250,69,31-80,41,31-60,83,81-150,694,3,4,2-4,5,3-6,5,3-6,8,4-8,5,4-8,10,12,22,4,143,Hibernating,31.545454545454547,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.0,4,0.1276595744680851,2,42,Online Recommended But Still Offline Sometime,0,Reject,0
13247,1959,56,56-90,Master,Partner,82576.0,Highest,0,0,0,2012-08-01,2012-08-01,66,2,1206,501-1250,55,51-100,445,251-600,120,81-150,18,0-30,18,0-30,1862,5,1,0-1,2,0-2,4,3-6,12,9-15,1,0-3,6,13,19,4,245,At Risk,98.0,0,Reject,0,Reject,0,Reject,0,Reject,1,Accept,0,6.0,5,0.19696969696969696,3,53,Online But Offline Still Fine,0,Accept more than once,1
12563,1988,27,0-35,PhD,Partner,67546.0,High,0,0,0,2012-08-31,2012-08-01,90,1,864,501-1250,81,51-100,555,251-600,120,81-150,38,31-60,126,81-150,1784,5,1,0-1,4,3-6,10,7-12,5,4-8,3,0-3,14,6,20,4,145,Can't lose them,89.2,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,4.666666666666667,5,0.06666666666666667,1,51,Online Only,0,Reject,0
10992,1967,48,36-55,Graduation,Partner,75702.0,Highest,1,1,2,2012-08-29,2012-08-01,77,1,650,501-1250,28,16-50,353,251-600,45,31-80,42,31-60,30,0-30,1148,4,5,5-10,4,3-6,6,3-6,11,9-15,8,4-8,10,16,26,5,154,Can't lose them,44.15384615384615,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.25,3,0.2077922077922078,4,34,Offline But Online Still Fine,0,Reject,0
12273,1972,43,36-55,PhD,Single,27213.0,Lowest,1,0,1,2012-08-30,2012-08-01,19,4,19,0-150,3,0-15,26,0-50,10,0-30,9,0-30,3,0-30,70,1,3,2-4,2,0-2,0,0-2,4,4-8,8,4-8,2,7,9,2,421,Recent Customer,7.777777777777778,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.25,1,0.3684210526315789,4,14,Offline Only,1,Accept,1
13686,1970,45,36-55,Graduation,Single,76467.0,Highest,1,0,1,2012-08-17,2012-08-01,44,3,676,501-1250,81,51-100,426,251-600,120,81-150,44,31-60,58,31-80,1405,5,2,2-4,2,0-2,5,3-6,5,4-8,6,4-8,7,7,14,3,335,Loyal Customer,100.35714285714286,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.1666666666666667,3,0.1590909090909091,3,33,Mid,1,Accept,1
13348,1950,65,56-90,Graduation,Partner,27203.0,Lowest,1,1,2,2012-08-06,2012-08-01,92,1,13,0-150,2,0-15,21,0-50,4,0-30,0,0-30,24,0-30,64,1,2,2-4,1,0-2,1,0-2,2,0-3,8,4-8,2,4,6,2,121,Lost,10.666666666666666,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.25,1,0.043478260869565216,1,11,Not Care At All,0,Reject,0
12984,1964,51,36-55,Master,Partner,79143.0,Highest,0,0,0,2012-08-11,2012-08-01,2,5,650,501-1250,37,16-50,555,251-600,27,0-30,81,61-100,32,31-80,1382,5,1,0-1,6,3-6,9,7-12,13,9-15,3,0-3,15,14,29,5,555,Champions,47.6551724137931,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,5.0,5,7.0,5,55,Both Care,0,Reject,0
10172,1988,27,0-35,Graduation,Single,68655.0,Highest,0,0,0,2012-08-10,2012-08-01,95,1,456,151-500,19,16-50,555,251-600,75,31-80,81,61-100,38,31-80,1224,4,1,0-1,4,3-6,5,3-6,11,9-15,3,0-3,9,12,21,4,144,Can't lose them,58.285714285714285,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,3.0,4,0.12631578947368421,2,42,Online Recommended But Still Offline Sometime,0,Reject,0
13131,1972,43,36-55,PhD,Partner,79930.0,Highest,0,0,0,2012-08-08,2012-08-01,72,2,792,501-1250,81,51-100,555,251-600,67,31-80,51,31-60,17,0-30,1563,5,1,0-1,3,3-6,5,3-6,8,4-8,2,0-3,8,9,17,3,235,At Risk,91.94117647058823,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,4.0,5,0.125,2,52,Online Recommended But Still Offline Sometime,0,Reject,0
13142,1959,56,56-90,Master,Single,33051.0,Lowest,0,0,0,2012-08-16,2012-08-01,15,4,100,0-150,71,51-100,243,51-250,108,81-150,81,61-100,126,81-150,729,3,3,2-4,9,7-15,1,0-2,8,4-8,9,9-15,10,11,21,4,443,Loyal Customer,34.714285714285715,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.1111111111111112,3,0.7333333333333333,5,35,Offline But Online Still Fine,1,Accept,1
12408,1966,49,36-55,Master,Single,29435.0,Lowest,1,1,2,2012-08-06,2012-08-01,11,4,70,0-150,3,0-15,37,0-50,4,0-30,2,0-30,64,31-80,180,2,4,2-4,3,3-6,2,0-2,2,0-3,9,9-15,5,6,11,3,432,Potential Loyalist,16.363636363636363,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.5555555555555556,2,0.5454545454545454,5,25,Offline Recommended But Online Still Fine,1,Accept,1
13540,1974,41,36-55,Graduation,Single,32233.0,Lowest,1,0,1,2012-08-19,2012-08-01,26,3,138,0-150,15,0-15,35,0-50,25,0-30,11,0-30,72,31-80,296,2,2,2-4,6,3-6,2,0-2,2,0-3,9,9-15,8,4,12,3,332,Potential Loyalist,24.666666666666668,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,Accept more than once,0,0.8888888888888888,3,0.15384615384615385,3,33,Mid,1,Accept more than once,2
12598,1985,30,0-35,PhD,Partner,64355.0,High,1,0,1,2012-08-24,2012-08-01,66,2,1047,501-1250,0,0-15,140,51-250,67,31-80,38,31-60,126,81-150,1418,5,2,2-4,4,3-6,3,3-6,12,9-15,8,4-8,7,14,21,4,245,At Risk,67.52380952380952,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.875,3,0.21212121212121213,4,34,Offline But Online Still Fine,0,Reject,0
12620,1985,30,0-35,Graduation,Single,66503.0,High,1,0,1,2012-08-14,2012-08-01,30,3,91,0-150,64,51-100,128,51-250,65,31-80,3,0-30,50,31-80,401,2,2,2-4,4,3-6,3,3-6,6,4-8,3,0-3,7,8,15,3,332,Potential Loyalist,26.733333333333334,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.3333333333333335,4,0.26666666666666666,4,44,Both Care,0,Reject,0
13860,1947,68,56-90,Graduation,Partner,27469.0,Lowest,0,0,0,2012-08-02,2012-08-01,2,5,9,0-150,1,0-15,2,0-50,3,0-30,2,0-30,0,0-30,17,1,1,0-1,0,0-2,0,0-2,3,0-3,6,4-8,0,4,4,1,511,Recent Customer,4.25,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.0,1,2.0,5,15,Offline Only,0,Reject,0
12550,1957,58,56-90,Graduation,Partner,73803.0,Highest,0,1,1,2012-08-01,2012-08-01,61,2,833,501-1250,80,51-100,363,251-600,52,31-80,26,0-30,126,81-150,1480,5,2,2-4,9,7-15,5,3-6,6,4-8,6,4-8,14,8,22,4,245,At Risk,67.27272727272727,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,Accept more than once,0,2.3333333333333335,4,0.13114754098360656,3,43,Online But Offline Still Fine,1,Accept more than once,2
13367,1981,34,0-35,Master,Partner,42021.0,Low,1,0,1,2012-08-31,2012-08-01,34,3,393,151-500,5,0-15,136,51-250,7,0-30,5,0-30,27,0-30,573,3,5,5-10,10,7-15,1,0-2,6,4-8,9,9-15,11,11,22,4,343,Loyal Customer,26.045454545454547,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,Accept more than once,0,1.2222222222222223,3,0.3235294117647059,4,34,Offline But Online Still Fine,0,Accept more than once,1
13448,1980,35,0-35,Basic,Partner,16005.0,Lowest,1,0,1,2012-08-14,2012-08-01,69,2,1,0-150,3,0-15,2,0-50,20,0-30,30,0-30,47,31-80,103,2,3,2-4,2,0-2,1,0-2,2,0-3,8,4-8,3,5,8,2,222,Customers Needing Attention,12.875,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.375,2,0.07246376811594203,1,21,Not Care But Online Prefered,0,Reject,0
13500,1955,60,56-90,Master,Partner,62972.0,High,0,1,1,2012-08-03,2012-08-01,39,3,313,151-500,15,0-15,47,0-50,20,0-30,0,0-30,126,81-150,521,3,2,2-4,7,7-15,4,3-6,3,0-3,6,4-8,11,5,16,3,333,Potential Loyalist,32.5625,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.8333333333333333,4,0.1282051282051282,2,42,Online Recommended But Still Offline Sometime,0,Reject,0
13148,1952,63,56-90,Master,Partner,55951.0,High,0,1,1,2012-08-23,2012-08-01,62,2,1224,501-1250,0,0-15,80,51-250,0,0-30,13,0-30,40,31-80,1357,5,3,2-4,3,3-6,6,3-6,11,9-15,8,4-8,9,14,23,4,245,At Risk,59.0,0,Reject,1,Accept,0,Accept more than once,1,Accept more than once,0,Accept more than once,0,1.125,3,0.22580645161290322,4,34,Offline But Online Still Fine,0,Accept more than once,2
13194,1964,51,36-55,Graduation,Single,61839.0,High,0,0,0,2012-08-12,2012-08-01,20,4,1000,501-1250,81,51-100,379,251-600,120,81-150,17,0-30,120,81-150,1717,5,1,0-1,4,3-6,8,7-12,4,4-8,8,4-8,12,5,17,3,435,Loyal Customer,101.0,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.5,3,0.25,4,34,Offline But Online Still Fine,0,Reject,0
12256,1978,37,36-55,Master,Partner,49611.5,Low,0,0,0,2012-08-12,2012-08-01,53,2,32,0-150,2,0-15,555,251-600,12,0-30,4,0-30,22,0-30,627,3,0,0-1,0,0-2,0,0-2,1,0-3,0,0-3,0,1,1,1,213,About to Sleep,627.0,0,Reject,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,0.0,1,0.018867924528301886,1,11,Not Care At All,0,Accept more than once,1
12993,1979,36,36-55,Master,Partner,60839.0,High,1,1,2,2012-08-28,2012-08-01,72,2,600,501-1250,21,16-50,128,51-250,120,81-150,81,61-100,126,81-150,1076,4,6,5-10,2,0-2,2,0-2,12,9-15,8,4-8,4,18,22,4,244,At Risk,48.90909090909091,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.5,2,0.25,4,24,Offline Recommended But Online Still Fine,0,Reject,0
12965,1970,45,36-55,Master,Single,44802.0,Low,0,0,0,2012-08-21,2012-08-01,71,2,853,501-1250,10,0-15,143,51-250,13,0-30,10,0-30,20,0-30,1049,4,2,2-4,9,7-15,4,3-6,12,9-15,8,4-8,13,14,27,5,254,At Risk,38.851851851851855,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.625,4,0.19718309859154928,3,43,Online But Offline Still Fine,0,Reject,0
13919,1986,29,0-35,Graduation,Single,26816.0,Lowest,0,0,0,2012-08-17,2012-08-01,50,3,5,0-150,1,0-15,6,0-50,3,0-30,4,0-30,3,0-30,22,1,1,0-1,0,0-2,0,0-2,3,0-3,4,4-8,0,4,4,1,311,Promising,5.5,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.0,1,0.08,2,12,Not Care But Offline Prefered,0,Reject,0
13104,1967,48,36-55,Graduation,Partner,77870.0,Highest,0,1,1,2012-08-22,2012-08-01,93,1,1017,501-1250,50,16-50,500,251-600,65,31-80,50,31-60,126,81-150,1808,5,3,2-4,5,3-6,5,3-6,5,4-8,8,4-8,10,8,18,4,145,Can't lose them,100.44444444444444,1,Accept,0,Accept more than once,0,Accept more than once,1,Accept more than once,0,Accept more than once,0,1.25,3,0.08602150537634409,2,32,Online Recommended But Still Offline Sometime,1,Accept more than once,3
13486,1973,42,36-55,Graduation,Partner,27803.0,Lowest,1,0,1,2012-08-26,2012-08-01,40,3,8,0-150,26,16-50,46,0-50,38,31-80,9,0-30,49,31-80,176,2,2,2-4,3,3-6,0,0-2,4,4-8,8,4-8,3,6,9,2,322,Customers Needing Attention,19.555555555555557,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.375,2,0.15,3,23,Offline Recommended But Online Still Fine,0,Reject,0
10176,1968,47,36-55,Graduation,Single,57107.0,High,0,1,1,2012-08-24,2012-08-01,44,3,159,151-500,0,0-15,120,51-250,0,0-30,0,0-30,126,81-150,405,2,6,5-10,4,3-6,4,3-6,8,4-8,8,4-8,8,14,22,4,342,Potential Loyalist,18.40909090909091,0,Reject,1,Accept,0,Accept more than once,1,Accept more than once,0,Accept more than once,0,1.0,3,0.3181818181818182,4,34,Offline But Online Still Fine,1,Accept more than once,3
12149,1980,35,0-35,Graduation,Partner,43586.0,Low,0,1,1,2012-08-30,2012-08-01,26,3,99,0-150,2,0-15,11,0-50,4,0-30,0,0-30,16,0-30,132,2,3,2-4,3,3-6,0,0-2,4,4-8,8,4-8,3,7,10,2,322,Customers Needing Attention,13.2,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.375,2,0.2692307692307692,4,24,Offline Recommended But Online Still Fine,0,Reject,0
12065,1980,35,0-35,Graduation,Partner,61014.0,High,0,1,1,2012-08-11,2012-08-01,17,4,269,151-500,81,51-100,495,251-600,120,81-150,43,31-60,29,0-30,1037,4,4,2-4,9,7-15,3,3-6,4,4-8,7,4-8,12,8,20,4,444,Loyal Customer,51.85,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.7142857142857142,4,0.47058823529411764,5,45,Both Care,0,Reject,0
13473,1950,65,56-90,Master,Partner,52203.0,High,0,0,0,2012-07-31,2012-08-01,36,3,488,151-500,21,16-50,238,51-250,56,31-80,81,61-100,28,0-30,912,4,1,0-1,8,7-15,7,7-12,11,9-15,6,4-8,15,12,27,5,354,Loyal Customer,33.77777777777778,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.5,4,0.3333333333333333,4,44,Both Care,0,Reject,0
13974,1982,33,0-35,Graduation,Partner,37040.0,Low,0,0,0,2012-08-08,2012-08-01,41,3,86,0-150,2,0-15,73,51-250,69,31-80,38,31-60,48,31-80,316,2,1,0-1,4,3-6,2,0-2,5,4-8,8,4-8,6,6,12,3,332,Potential Loyalist,26.333333333333332,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.75,2,0.14634146341463414,3,23,Offline Recommended But Online Still Fine,0,Reject,0
12843,1982,33,0-35,Graduation,Single,39660.0,Low,1,0,1,2012-08-08,2012-08-01,36,3,139,0-150,13,0-15,78,51-250,20,0-30,13,0-30,36,31-80,299,2,3,2-4,7,7-15,1,0-2,3,0-3,9,9-15,8,6,14,3,332,Potential Loyalist,21.357142857142858,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.8888888888888888,3,0.16666666666666666,3,33,Mid,1,Accept,1
12949,1973,42,36-55,Master,Partner,35688.0,Lowest,2,1,3,2012-08-22,2012-08-01,94,1,73,0-150,3,0-15,90,51-250,12,0-30,1,0-30,32,31-80,211,2,6,5-10,4,3-6,1,0-2,4,4-8,8,4-8,5,10,15,3,132,Hibernating,14.066666666666666,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.625,2,0.10638297872340426,2,22,Not Care Much,0,Reject,0
12000,1974,41,36-55,Graduation,Partner,67445.0,High,0,1,1,2012-08-12,2012-08-01,63,2,757,501-1250,80,51-100,217,51-250,29,0-30,80,61-100,11,0-30,1174,4,5,5-10,9,7-15,6,3-6,12,9-15,6,4-8,15,17,32,5,254,At Risk,36.6875,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.5,4,0.2698412698412698,4,44,Both Care,0,Reject,0
12711,1972,43,36-55,Master,Partner,75251.0,Highest,0,0,0,2012-08-27,2012-08-01,34,3,721,501-1250,81,51-100,555,251-600,97,81-150,18,0-30,18,0-30,1490,5,1,0-1,7,7-15,6,3-6,5,4-8,5,4-8,13,6,19,4,345,Loyal Customer,78.42105263157895,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.6,4,0.17647058823529413,3,43,Online But Offline Still Fine,1,Accept,1
